(1, 1696842631000, 9, 10, 2023, 0, Decimal('26376.5'), Decimal('26376.5'), Decimal('26376.5'), Decimal('26376.5'), Decimal('26376.500000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(2, 1696843972000, 9, 10, 2023, 0, Decimal('26355.91'), Decimal('26355.91'), Decimal('26355.91'), Decimal('26355.91'), Decimal('26355.910000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(3, 1696843973000, 9, 10, 2023, 0, Decimal('26355.91'), Decimal('26355.91'), Decimal('26355.91'), Decimal('26355.91'), Decimal('26355.910000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(4, 1696844936000, 9, 10, 2023, 0, Decimal('26255.38'), Decimal('26255.38'), Decimal('26255.38'), Decimal('26255.38'), Decimal('26255.380000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(5, 1696844937000, 9, 10, 2023, 0, Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.580000000000'), 1, Decimal('0.005'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(6, 1696844938000, 9, 10, 2023, 0, Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.580000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(7, 1696844939000, 9, 10, 2023, 0, Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.580000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(8, 1696844940000, 9, 10, 2023, 0, Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.58'), Decimal('26252.580000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(9, 1696844941000, 9, 10, 2023, 0, Decimal('26249.43'), Decimal('26249.43'), Decimal('26249.43'), Decimal('26249.43'), Decimal('26249.430000000000'), 1, Decimal('0.005'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(10, 1696844942000, 9, 10, 2023, 0, Decimal('26245.97'), Decimal('26245.97'), Decimal('26245.97'), Decimal('26245.97'), Decimal('26245.970000000000'), 1, Decimal('0.00077'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(11, 1696844943000, 9, 10, 2023, 0, Decimal('26245.97'), Decimal('26245.97'), Decimal('26245.97'), Decimal('26245.97'), Decimal('26245.970000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
